,key,avg,sum,num,name,source
385,Context.StorageManager.Query.Reader.apply_query_condition,0.000291603,0.000291603,1,X_batch,tiledbsoma
223,Context.StorageManager.Query.Reader.apply_query_condition,0.000307936,0.000307936,1,X_batch,tiledbsoma
277,Context.StorageManager.Query.Reader.apply_query_condition,0.000276635,0.000276635,1,X_batch,tiledbsoma
34,Context.StorageManager.Query.Reader.apply_query_condition,0.000317721,0.000317721,1,X_batch,tiledbsoma
196,Context.StorageManager.Query.Reader.apply_query_condition,0.000316864,0.000316864,1,X_batch,tiledbsoma
304,Context.StorageManager.Query.Reader.apply_query_condition,0.000325016,0.000325016,1,X_batch,tiledbsoma
169,Context.StorageManager.Query.Reader.apply_query_condition,0.000282707,0.000282707,1,X_batch,tiledbsoma
142,Context.StorageManager.Query.Reader.apply_query_condition,0.000308711,0.000308711,1,X_batch,tiledbsoma
331,Context.StorageManager.Query.Reader.apply_query_condition,0.000295501,0.000295501,1,X_batch,tiledbsoma
250,Context.StorageManager.Query.Reader.apply_query_condition,0.000294306,0.000294306,1,X_batch,tiledbsoma
115,Context.StorageManager.Query.Reader.apply_query_condition,0.000337241,0.000337241,1,X_batch,tiledbsoma
358,Context.StorageManager.Query.Reader.apply_query_condition,0.00039744,0.00039744,1,X_batch,tiledbsoma
61,Context.StorageManager.Query.Reader.apply_query_condition,0.000333832,0.000333832,1,X_batch,tiledbsoma
88,Context.StorageManager.Query.Reader.apply_query_condition,0.000320246,0.000320246,1,X_batch,tiledbsoma
249,Context.StorageManager.Query.Reader.compute_results_count_sparse,0.000845852,0.0312965,37,X_batch,tiledbsoma
114,Context.StorageManager.Query.Reader.compute_results_count_sparse,0.000877202,0.0324565,37,X_batch,tiledbsoma
384,Context.StorageManager.Query.Reader.compute_results_count_sparse,0.00107636,0.0398254,37,X_batch,tiledbsoma
60,Context.StorageManager.Query.Reader.compute_results_count_sparse,0.000772303,0.0293475,38,X_batch,tiledbsoma
195,Context.StorageManager.Query.Reader.compute_results_count_sparse,0.000987163,0.0345507,35,X_batch,tiledbsoma
222,Context.StorageManager.Query.Reader.compute_results_count_sparse,0.000796765,0.0278868,35,X_batch,tiledbsoma
87,Context.StorageManager.Query.Reader.compute_results_count_sparse,0.00103105,0.0164968,16,X_batch,tiledbsoma
141,Context.StorageManager.Query.Reader.compute_results_count_sparse,0.00081114,0.0283899,35,X_batch,tiledbsoma
168,Context.StorageManager.Query.Reader.compute_results_count_sparse,0.000945569,0.0293126,31,X_batch,tiledbsoma
33,Context.StorageManager.Query.Reader.compute_results_count_sparse,0.000846765,0.0279432,33,X_batch,tiledbsoma
330,Context.StorageManager.Query.Reader.compute_results_count_sparse,0.000958347,0.0306671,32,X_batch,tiledbsoma
303,Context.StorageManager.Query.Reader.compute_results_count_sparse,0.000978816,0.0293645,30,X_batch,tiledbsoma
276,Context.StorageManager.Query.Reader.compute_results_count_sparse,0.000976114,0.0370923,38,X_batch,tiledbsoma
357,Context.StorageManager.Query.Reader.compute_results_count_sparse,0.000745445,0.0119271,16,X_batch,tiledbsoma
329,Context.StorageManager.Query.Reader.compute_tile_bitmaps,0.00723734,0.00723734,1,X_batch,tiledbsoma
356,Context.StorageManager.Query.Reader.compute_tile_bitmaps,0.00869519,0.00869519,1,X_batch,tiledbsoma
194,Context.StorageManager.Query.Reader.compute_tile_bitmaps,0.00572937,0.00572937,1,X_batch,tiledbsoma
302,Context.StorageManager.Query.Reader.compute_tile_bitmaps,0.00522104,0.00522104,1,X_batch,tiledbsoma
113,Context.StorageManager.Query.Reader.compute_tile_bitmaps,0.00765579,0.00765579,1,X_batch,tiledbsoma
140,Context.StorageManager.Query.Reader.compute_tile_bitmaps,0.00470846,0.00470846,1,X_batch,tiledbsoma
167,Context.StorageManager.Query.Reader.compute_tile_bitmaps,0.00415024,0.00415024,1,X_batch,tiledbsoma
59,Context.StorageManager.Query.Reader.compute_tile_bitmaps,0.00910168,0.00910168,1,X_batch,tiledbsoma
32,Context.StorageManager.Query.Reader.compute_tile_bitmaps,0.00925975,0.00925975,1,X_batch,tiledbsoma
383,Context.StorageManager.Query.Reader.compute_tile_bitmaps,0.00563469,0.00563469,1,X_batch,tiledbsoma
86,Context.StorageManager.Query.Reader.compute_tile_bitmaps,0.00608831,0.00608831,1,X_batch,tiledbsoma
248,Context.StorageManager.Query.Reader.compute_tile_bitmaps,0.00878945,0.00878945,1,X_batch,tiledbsoma
275,Context.StorageManager.Query.Reader.compute_tile_bitmaps,0.00968419,0.00968419,1,X_batch,tiledbsoma
221,Context.StorageManager.Query.Reader.compute_tile_bitmaps,0.0070372,0.0070372,1,X_batch,tiledbsoma
112,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.00960996,0.0288299,3,X_batch,tiledbsoma
382,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.0137413,0.041224,3,X_batch,tiledbsoma
355,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.0123174,0.0369523,3,X_batch,tiledbsoma
139,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.00522836,0.0156851,3,X_batch,tiledbsoma
58,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.0082889,0.0248667,3,X_batch,tiledbsoma
274,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.00632125,0.0189638,3,X_batch,tiledbsoma
166,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.00491913,0.0147574,3,X_batch,tiledbsoma
247,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.0109871,0.0329612,3,X_batch,tiledbsoma
328,Context.StorageManager.Query.Reader.copy_fixed_data_tiles,0.0060403,0.0181209,3,X_batch,tiledbsoma
